series_id,year,period,value,footnote_codes
JTS00000000HIL   ,2008,M01,4868,          
JTS00000000HIL   ,2008,M02,4863,          
JTS00000000HIL   ,2008,M03,4759,          
JTS00000000HIL   ,2008,M04,4857,          
JTS00000000HIL   ,2008,M05,4604,          
JTS00000000HIL   ,2008,M06,4782,          
JTS00000000HIL   ,2008,M07,4467,          
JTS00000000HIL   ,2008,M08,4580,          
JTS00000000HIL   ,2008,M09,4297,          
JTS00000000HIL   ,2008,M10,4454,          
JTS00000000HIL   ,2008,M11,3899,          
JTS00000000HIL   ,2008,M12,4271,          
JTS00000000HIL   ,2009,M01,4111,          
JTS00000000HIL   ,2009,M02,4004,          
JTS00000000HIL   ,2009,M03,3697,          
JTS00000000HIL   ,2009,M04,3870,          
JTS00000000HIL   ,2009,M05,3736,          
JTS00000000HIL   ,2009,M06,3649,          
JTS00000000HIL   ,2009,M07,3807,          
JTS00000000HIL   ,2009,M08,3734,          
JTS00000000HIL   ,2009,M09,3846,          
JTS00000000HIL   ,2009,M10,3746,          
JTS00000000HIL   ,2009,M11,3966,          
JTS00000000HIL   ,2009,M12,3819,          
JTS00000000HIL   ,2010,M01,3903,          
JTS00000000HIL   ,2010,M02,3778,          
JTS00000000HIL   ,2010,M03,4189,          
JTS00000000HIL   ,2010,M04,4087,          
JTS00000000HIL   ,2010,M05,4368,          
JTS00000000HIL   ,2010,M06,4074,          
JTS00000000HIL   ,2010,M07,4121,          
JTS00000000HIL   ,2010,M08,3914,          
JTS00000000HIL   ,2010,M09,3995,          
JTS00000000HIL   ,2010,M10,4050,          
JTS00000000HIL   ,2010,M11,4110,          
JTS00000000HIL   ,2010,M12,4180,          
JTS00000000HIL   ,2011,M01,3904,          
JTS00000000HIL   ,2011,M02,4035,          
JTS00000000HIL   ,2011,M03,4266,          
JTS00000000HIL   ,2011,M04,4219,          
JTS00000000HIL   ,2011,M05,4125,          
JTS00000000HIL   ,2011,M06,4297,          
JTS00000000HIL   ,2011,M07,4180,          
JTS00000000HIL   ,2011,M08,4193,          
JTS00000000HIL   ,2011,M09,4326,          
JTS00000000HIL   ,2011,M10,4217,          
JTS00000000HIL   ,2011,M11,4235,          
JTS00000000HIL   ,2011,M12,4254,          
JTS00000000HIL   ,2012,M01,4296,          
JTS00000000HIL   ,2012,M02,4451,          
JTS00000000HIL   ,2012,M03,4472,          
JTS00000000HIL   ,2012,M04,4305,          
JTS00000000HIL   ,2012,M05,4440,          
JTS00000000HIL   ,2012,M06,4338,          
JTS00000000HIL   ,2012,M07,4285,          
JTS00000000HIL   ,2012,M08,4460,          
JTS00000000HIL   ,2012,M09,4220,          
JTS00000000HIL   ,2012,M10,4322,          
JTS00000000HIL   ,2012,M11,4417,          
JTS00000000HIL   ,2012,M12,4361,          
JTS00000000HIL   ,2013,M01,4411,          
JTS00000000HIL   ,2013,M02,4574,          
JTS00000000HIL   ,2013,M03,4289,          
JTS00000000HIL   ,2013,M04,4490,          
JTS00000000HIL   ,2013,M05,4554,          
JTS00000000HIL   ,2013,M06,4410,          
JTS00000000HIL   ,2013,M07,4493,          
JTS00000000HIL   ,2013,M08,4647,          
JTS00000000HIL   ,2013,M09,4651,          
JTS00000000HIL   ,2013,M10,4458,          
JTS00000000HIL   ,2013,M11,4616,          
JTS00000000HIL   ,2013,M12,4545,          
JTS00000000HIL   ,2014,M01,4600,          
JTS00000000HIL   ,2014,M02,4698,          
JTS00000000HIL   ,2014,M03,4744,          
JTS00000000HIL   ,2014,M04,4790,          
JTS00000000HIL   ,2014,M05,4805,          
JTS00000000HIL   ,2014,M06,4820,          
JTS00000000HIL   ,2014,M07,5003,          
JTS00000000HIL   ,2014,M08,4792,          
JTS00000000HIL   ,2014,M09,5061,          
JTS00000000HIL   ,2014,M10,5106,          
JTS00000000HIL   ,2014,M11,5026,          
JTS00000000HIL   ,2014,M12,5239,          
JTS00000000HIL   ,2015,M01,4994,          
JTS00000000HIL   ,2015,M02,5011,          
JTS00000000HIL   ,2015,M03,5088,          
JTS00000000HIL   ,2015,M04,5034,          
JTS00000000HIL   ,2015,M05,5060,          
JTS00000000HIL   ,2015,M06,5182,          
JTS00000000HIL   ,2015,M07,5065,          
JTS00000000HIL   ,2015,M08,5081,          
JTS00000000HIL   ,2015,M09,5080,          
JTS00000000HIL   ,2015,M10,5168,          
JTS00000000HIL   ,2015,M11,5256,          
JTS00000000HIL   ,2015,M12,5361,p
JTS00000000HIR   ,2008,M01,3.5,          
JTS00000000HIR   ,2008,M02,3.5,          
JTS00000000HIR   ,2008,M03,3.4,          
JTS00000000HIR   ,2008,M04,3.5,          
JTS00000000HIR   ,2008,M05,3.3,          
JTS00000000HIR   ,2008,M06,3.5,          
JTS00000000HIR   ,2008,M07,3.3,          
JTS00000000HIR   ,2008,M08,3.3,          
JTS00000000HIR   ,2008,M09,3.1,          
JTS00000000HIR   ,2008,M10,3.3,          
JTS00000000HIR   ,2008,M11,2.9,          
JTS00000000HIR   ,2008,M12,3.2,          
JTS00000000HIR   ,2009,M01,3.1,          
JTS00000000HIR   ,2009,M02,3,          
JTS00000000HIR   ,2009,M03,2.8,          
JTS00000000HIR   ,2009,M04,2.9,          
JTS00000000HIR   ,2009,M05,2.8,          
JTS00000000HIR   ,2009,M06,2.8,          
JTS00000000HIR   ,2009,M07,2.9,          
JTS00000000HIR   ,2009,M08,2.9,          
JTS00000000HIR   ,2009,M09,3,          
JTS00000000HIR   ,2009,M10,2.9,          
JTS00000000HIR   ,2009,M11,3.1,          
JTS00000000HIR   ,2009,M12,2.9,          
JTS00000000HIR   ,2010,M01,3,          
JTS00000000HIR   ,2010,M02,2.9,          
JTS00000000HIR   ,2010,M03,3.2,          
JTS00000000HIR   ,2010,M04,3.1,          
JTS00000000HIR   ,2010,M05,3.3,          
JTS00000000HIR   ,2010,M06,3.1,          
JTS00000000HIR   ,2010,M07,3.2,          
JTS00000000HIR   ,2010,M08,3,          
JTS00000000HIR   ,2010,M09,3.1,          
JTS00000000HIR   ,2010,M10,3.1,          
JTS00000000HIR   ,2010,M11,3.1,          
JTS00000000HIR   ,2010,M12,3.2,          
JTS00000000HIR   ,2011,M01,3,          
JTS00000000HIR   ,2011,M02,3.1,          
JTS00000000HIR   ,2011,M03,3.3,          
JTS00000000HIR   ,2011,M04,3.2,          
JTS00000000HIR   ,2011,M05,3.1,          
JTS00000000HIR   ,2011,M06,3.3,          
JTS00000000HIR   ,2011,M07,3.2,          
JTS00000000HIR   ,2011,M08,3.2,          
JTS00000000HIR   ,2011,M09,3.3,          
JTS00000000HIR   ,2011,M10,3.2,          
JTS00000000HIR   ,2011,M11,3.2,          
JTS00000000HIR   ,2011,M12,3.2,          
JTS00000000HIR   ,2012,M01,3.2,          
JTS00000000HIR   ,2012,M02,3.3,          
JTS00000000HIR   ,2012,M03,3.3,          
JTS00000000HIR   ,2012,M04,3.2,          
JTS00000000HIR   ,2012,M05,3.3,          
JTS00000000HIR   ,2012,M06,3.2,          
JTS00000000HIR   ,2012,M07,3.2,          
JTS00000000HIR   ,2012,M08,3.3,          
JTS00000000HIR   ,2012,M09,3.1,          
JTS00000000HIR   ,2012,M10,3.2,          
JTS00000000HIR   ,2012,M11,3.3,          
JTS00000000HIR   ,2012,M12,3.2,          
